number_votes,share_votes,district,affiliation
23345,48.73 %,Budapest V. kerület,LMP
0,0.0 %,Budapest V. kerület,MSZP-PÁRBESZÉD
20031,41.81 %,Budapest V. kerület,FIDESZ-KDNP
0,0.0 %,Budapest V. kerület,MOMENTUM
1474,3.08 %,Budapest V. kerület,MKKP
3060,6.39 %,Budapest V. kerület,JOBBIK
0,0.0 %,Budapest V. kerület,EGYÜTT
87,0.16 %,Budapest XVI. kerület,LENDÜLETTEL
22245,39.96 %,Budapest XVI. kerület,EGYÜTT
0,0.0 %,Budapest XVI. kerület,DK
187,0.34 %,Budapest XVI. kerület,KÖZÖS NEVEZŐ
52,0.09 %,Budapest XVI. kerület,NEMZET ÉS BÉKE
5086,9.14 %,Budapest XVI. kerület,JOBBIK
0,0.0 %,Budapest XVI. kerület,MOMENTUM
311,0.56 %,Budapest XVI. kerület,MUNKÁSPÁRT
52,0.09 %,Budapest XVI. kerület,IRÁNYTŰ
64,0.11 %,Budapest XVI. kerület,REND PÁRT
4048,7.27 %,Budapest XVI. kerület,LMP
137,0.25 %,Budapest XVI. kerület,MIÉP
70,0.13 %,Budapest XVI. kerület,NP
23328,41.91 %,Budapest XVI. kerület,FIDESZ-KDNP
1608,2.78 %,Budapest XVII. kerület,MOMENTUM
23784,41.17 %,Budapest XVII. kerület,FIDESZ-KDNP
119,0.21 %,Budapest XVII. kerület,NEMZET ÉS BÉKE
7536,13.04 %,Budapest XVII. kerület,JOBBIK
253,0.44 %,Budapest XVII. kerület,MUNKÁSPÁRT
21512,37.23 %,Budapest XVII. kerület,MSZP-PÁRBESZÉD
137,0.24 %,Budapest XVII. kerület,REND PÁRT
2826,4.89 %,Budapest XVII. kerület,LMP
0,0.0 %,Budapest XVII. kerület,KÖZÖS NEVEZŐ
231,0.42 %,Budapest XV. kerület,MUNKÁSPÁRT
37,0.07 %,Budapest XV. kerület,REND PÁRT
65,0.12 %,Budapest XV. kerület,KÖZÖS NEVEZŐ
1048,1.91 %,Budapest XV. kerület,MKKP
20622,37.54 %,Budapest XV. kerület,FIDESZ-KDNP
72,0.13 %,Budapest XV. kerület,KÖSSZ
0,0.0 %,Budapest XV. kerület,EGYÜTT
388,0.71 %,Budapest XV. kerület,LENDÜLETTEL
2540,4.62 %,Budapest XV. kerület,LMP
1082,1.97 %,Budapest XV. kerület,MOMENTUM
5640,10.27 %,Budapest XV. kerület,JOBBIK
23212,42.25 %,Budapest XV. kerület,DK
0,0.0 %,Budapest III. kerület,EGYÜTT
139,0.25 %,Budapest III. kerület,IRÁNYTŰ
6070,10.82 %,Budapest III. kerület,JOBBIK
127,0.23 %,Budapest III. kerület,HAJRÁ MAGYARORSZÁG!
141,0.25 %,Budapest III. kerület,LENDÜLETTEL
20403,36.36 %,Budapest III. kerület,FIDESZ-KDNP
27017,48.15 %,Budapest III. kerület,MSZP-PÁRBESZÉD
2213,3.94 %,Budapest III. kerület,MOMENTUM
0,0.0 %,Budapest III. kerület,LMP
1332,2.34 %,Budapest IV. kerület,Független jelölt
59,0.1 %,Budapest IV. kerület,KÖSSZ
20080,35.26 %,Budapest IV. kerület,FIDESZ-KDNP
87,0.15 %,Budapest IV. kerület,KÖZÖS NEVEZŐ
36,0.06 %,Budapest IV. kerület,MCP
3459,6.07 %,Budapest IV. kerület,LMP
117,0.21 %,Budapest IV. kerület,SEM
23238,40.8 %,Budapest IV. kerület,DK
5826,10.23 %,Budapest IV. kerület,JOBBIK
0,0.0 %,Budapest IV. kerület,HAM
25,0.04 %,Budapest IV. kerület,TENNI AKARÁS MOZGALOM
33,0.06 %,Budapest IV. kerület,REND PÁRT
33,0.06 %,Budapest IV. kerület,HAJRÁ MAGYARORSZÁG!
1278,2.24 %,Budapest IV. kerület,MOMENTUM
188,0.33 %,Budapest IV. kerület,MUNKÁSPÁRT
0,0.0 %,Budapest IV. kerület,EMMO
35,0.06 %,Budapest IV. kerület,OP
1064,1.87 %,Budapest IV. kerület,MKKP
66,0.12 %,Budapest IV. kerület,MIÉP
1771,3.02 %,Budapest XIV. kerület,MOMENTUM
4492,7.65 %,Budapest XIV. kerület,JOBBIK
209,0.36 %,Budapest XIV. kerület,MUNKÁSPÁRT
2410,4.1 %,Budapest XIV. kerület,LMP
20588,35.06 %,Budapest XIV. kerület,FIDESZ-KDNP
27736,47.23 %,Budapest XIV. kerület,MSZP-PÁRBESZÉD
1518,2.58 %,Budapest XIV. kerület,MKKP
58,0.11 %,Budapest X. kerület,IRÁNYTŰ
81,0.15 %,Budapest X. kerület,KÖZÖS NEVEZŐ
